City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
95,seward,40.907,-97.0989,10.060000000000002,44,2,1.34,US,1712893097
96,margaret river,-33.95,115.0667,23.75,44,41,1.93,AU,1712892838
97,sorong,-0.8833,131.25,28.970000000000027,71,53,3.72,ID,1712893098
98,prince rupert,54.3161,-130.3201,6.830000000000041,66,0,4.12,CA,1712893098
99,tindouf,27.6711,-8.1474,22.25,12,2,2.06,DZ,1712893098
100,kroya,-7.6331,109.2461,30.100000000000023,70,51,2.39,ID,1712893098
101,chakulia,22.4833,86.7167,32.30000000000001,27,99,3.15,IN,1712893099
102,kolokani,13.5728,-8.0339,28.670000000000016,29,27,1.37,ML,1712893099
103,labytnangi,66.6572,66.4183,-6.4599999999999795,95,100,3.24,RU,1712893099
104,ancud,-41.8697,-73.8203,8.480000000000018,70,0,2.84,CL,1712893100
105,tofol,5.3248,163.0078,24.879999999999995,94,100,4.12,FM,1712893100
106,daru,-9.0763,143.2092,27.140000000000043,84,100,5.37,PG,1712893100
107,tarnogskiy gorodok,60.4997,43.5761,4.340000000000032,90,100,4.9,RU,1712893100
108,salinopolis,-0.6136,-47.3561,26.390000000000043,89,98,2.5,BR,1712893100
109,talara,-4.5772,-81.2719,23.420000000000016,78,0,5.14,PE,1712893101
110,turinskaya sloboda,57.6232,64.3858,7.460000000000036,91,100,6.08,RU,1712893101
111,punta arenas,-53.15,-70.9167,8.060000000000002,76,40,9.77,CL,1712892849
112,mossel bay,-34.1831,22.146,8.960000000000036,70,12,1.86,ZA,1712893101
113,ilulissat,69.2167,-51.1,-6.989999999999952,93,100,0.0,GL,1712892820
114,naze,28.3667,129.4833,21.510000000000048,89,96,3.99,JP,1712893101
115,howrah,22.5892,88.3103,31.0,48,40,0.0,IN,1712893102
116,guanica,17.9716,-66.908,26.700000000000045,62,1,2.5,PR,1712893102
117,woolgoolga,-30.1106,153.2007,23.930000000000007,68,0,4.89,AU,1712893102
118,st. john's,47.5649,-52.7093,1.1000000000000227,78,0,10.29,CA,1712892907
119,dickinson,29.4608,-95.0513,22.210000000000036,55,0,3.08,US,1712892928
120,ploudalmezeau,48.5333,-4.65,10.710000000000036,86,0,4.63,FR,1712893103
121,kapa'a,22.0752,-159.319,23.99000000000001,90,100,2.57,US,1712893103
122,ouadda,8.0777,22.4007,22.610000000000014,19,82,1.89,CF,1712893103
123,yanchep,-31.55,115.6833,28.30000000000001,36,26,1.65,AU,1712893103
